product_id,product_name,category,price
P101,Parle-G Biscuits,Snacks,25
P102,Amul Butter,Dairy,60
P103,Tata Tea Premium,Beverages,45
P104,Aashirvaad Atta,Grocery,30
P105,Fortune Sunflower Oil,Grocery,120
P106,Maggi Noodles,Instant Food,80
P107,Dairy Milk Chocolate,Confectionery,50
P108,Britannia Bread,Bakery,35
P109,Surf Excel Detergent,Household,35
P110,Good Day Cookies,Snacks,20
P111,India Gate Basmati Rice,Grocery,95
P112,Patanjali Honey,Health,150
P113,Colgate Toothpaste,Personal Care,90
P114,Lays Chips,Snacks,55
P115,Dabur Chyawanprash,Health,180
